layerID,ComputeKer16,,FirstReadLatency,,FirstWeightOverhead,,IstageLastInputLatency,,IstageNoInputLatency,,IstageNoOutputLatency,,IstageNormalInputLatency,,IstageReadOverhead,,IstageWriteOverhead,,Iternumber,,LoadFeedingBuffer,,LoadKern_Data,,LoadKern_Total,,OStgBuffSeq,,ProcResult,,ProcResultLast,,ProcWeightLast,,ProcWeightLastNkpf,,ProcWeightLastRowStep,,ProcWeightNormal,,ProcWeightOverhead,,ReadInputFirst_Data,,ReadInputFirst_Total,,ReadInputLast_Data,,ReadInputLast_Total,,ReadInputNormal_Data,,ReadInputNormal_Total,,TotalLatency,,WriteOutputLast_Data,,WriteOutputLast_Total,,WriteOutputNormal_Data,,WriteOutputNormal_Total,
20,624.0,,0,,7164.0,,0,,34548.0,,0,,0,,16650.0,,7608.0,,6,,1672.0,,7020.0,,7164.0,,168.0,,3912.0,,3912.0,,27384.0,,27384.0,,27384.0,,27384.0,,1672.0,,14490.0,,16650.0,,0.0,,0.0,,0.0,,0.0,,61306.0,,6888.0,,7608.0,,6888.0,,7608.0,
21,624.0,,0,,3654.0,,0,,17934.0,,0,,0,,16650.0,,3804.0,,3,,1672.0,,3510.0,,3654.0,,168.0,,2040.0,,2040.0,,14280.0,,14280.0,,14280.0,,14280.0,,1672.0,,14490.0,,16650.0,,0.0,,0.0,,0.0,,0.0,,40888.0,,3444.0,,3804.0,,3444.0,,3804.0,
22,624.0,,0,,736.0,,0,,12496.0,,0,,0,,16650.0,,1268.0,,1,,1672.0,,592.0,,736.0,,168.0,,792.0,,792.0,,10824.0,,10824.0,,11704.0,,11704.0,,1672.0,,14490.0,,16650.0,,0.0,,0.0,,0.0,,0.0,,32914.0,,1148.0,,1268.0,,1148.0,,1268.0,
24,1008.0,,0,,13840.0,,0,,74080.0,,0,,0,,3330.0,,8876.0,,6,,2592.0,,13696.0,,13840.0,,168.0,,6216.0,,1176.0,,16728.0,,16728.0,,43512.0,,43512.0,,2592.0,,2898.0,,3330.0,,0.0,,0.0,,0.0,,0.0,,88786.0,,8036.0,,8876.0,,8036.0,,8876.0,
25,544.0,,0,,1610.0,,0,,48704.0,,0,,0,,1110.0,,2536.0,,1,,3428.0,,1466.0,,1610.0,,168.0,,712.0,,712.0,,21280.0,,21280.0,,23996.0,,23996.0,,3428.0,,966.0,,1110.0,,0.0,,0.0,,0.0,,0.0,,54850.0,,2296.0,,2536.0,,2296.0,,2536.0,
26,624.0,,0,,2484.0,,0,,13932.0,,0,,0,,16650.0,,2536.0,,2,,1672.0,,2340.0,,2484.0,,168.0,,1416.0,,1416.0,,11448.0,,11448.0,,11704.0,,11704.0,,1672.0,,14490.0,,16650.0,,0.0,,0.0,,0.0,,0.0,,35618.0,,2296.0,,2536.0,,2296.0,,2536.0,
27,656.0,,0,,6384.0,,0,,30520.0,,0,,0,,17760.0,,6340.0,,5,,1672.0,,6240.0,,6384.0,,168.0,,3448.0,,3448.0,,24136.0,,24136.0,,24136.0,,24136.0,,1672.0,,15456.0,,17760.0,,0.0,,0.0,,0.0,,0.0,,57120.0,,5740.0,,6340.0,,5740.0,,6340.0,
28,656.0,,0,,4512.0,,0,,30320.0,,0,,0,,17760.0,,5072.0,,3,,1672.0,,4368.0,,4512.0,,168.0,,2136.0,,824.0,,10856.0,,10856.0,,14952.0,,14952.0,,1672.0,,15456.0,,17760.0,,0.0,,0.0,,0.0,,0.0,,55652.0,,4592.0,,5072.0,,4592.0,,5072.0,
29,656.0,,0,,1392.0,,0,,12528.0,,0,,0,,17760.0,,1268.0,,1,,1672.0,,1248.0,,1392.0,,168.0,,824.0,,824.0,,10856.0,,10856.0,,11704.0,,11704.0,,1672.0,,15456.0,,17760.0,,0.0,,0.0,,0.0,,0.0,,34056.0,,1148.0,,1268.0,,1148.0,,1268.0,
31,1152.0,,0,,17350.0,,0,,74974.0,,0,,0,,4440.0,,8876.0,,7,,2592.0,,17206.0,,17350.0,,168.0,,8232.0,,8232.0,,57624.0,,57624.0,,57624.0,,57624.0,,2592.0,,3864.0,,4440.0,,0.0,,0.0,,0.0,,0.0,,90790.0,,8036.0,,8876.0,,8036.0,,8876.0,
32,744.0,,0,,3076.0,,0,,25652.0,,0,,0,,1110.0,,2536.0,,2,,3428.0,,2932.0,,3076.0,,168.0,,1656.0,,1656.0,,22224.0,,22224.0,,23996.0,,23996.0,,3428.0,,966.0,,1110.0,,0.0,,0.0,,0.0,,0.0,,31798.0,,2296.0,,2536.0,,2296.0,,2536.0,
33,656.0,,0,,2640.0,,0,,14152.0,,0,,0,,17760.0,,2536.0,,2,,1672.0,,2496.0,,2640.0,,168.0,,1480.0,,1480.0,,11512.0,,11512.0,,11704.0,,11704.0,,1672.0,,15456.0,,17760.0,,0.0,,0.0,,0.0,,0.0,,36948.0,,2296.0,,2536.0,,2296.0,,2536.0,
34,656.0,,0,,5136.0,,0,,24680.0,,0,,0,,17760.0,,5072.0,,4,,1672.0,,4992.0,,5136.0,,168.0,,2792.0,,2792.0,,19544.0,,19544.0,,19544.0,,19544.0,,1672.0,,15456.0,,17760.0,,0.0,,0.0,,0.0,,0.0,,50012.0,,4592.0,,5072.0,,4592.0,,5072.0,
35,656.0,,0,,5136.0,,0,,24680.0,,0,,0,,17760.0,,5072.0,,4,,1672.0,,4992.0,,5136.0,,168.0,,2792.0,,2792.0,,19544.0,,19544.0,,19544.0,,19544.0,,1672.0,,15456.0,,17760.0,,0.0,,0.0,,0.0,,0.0,,50012.0,,4592.0,,5072.0,,4592.0,,5072.0,
36,656.0,,0,,1392.0,,0,,12528.0,,0,,0,,17760.0,,1268.0,,1,,1672.0,,1248.0,,1392.0,,168.0,,824.0,,824.0,,10856.0,,10856.0,,11704.0,,11704.0,,1672.0,,15456.0,,17760.0,,0.0,,0.0,,0.0,,0.0,,34056.0,,1148.0,,1268.0,,1148.0,,1268.0,
38,1296.0,,0,,19800.0,,0,,101496.0,,0,,0,,4440.0,,10144.0,,7,,2592.0,,19656.0,,19800.0,,168.0,,9240.0,,1464.0,,17016.0,,17016.0,,64680.0,,64680.0,,2592.0,,3864.0,,4440.0,,0.0,,0.0,,0.0,,0.0,,118580.0,,9184.0,,10144.0,,9184.0,,10144.0,
39,744.0,,0,,3076.0,,0,,25652.0,,0,,0,,1110.0,,2536.0,,2,,3428.0,,2932.0,,3076.0,,168.0,,1656.0,,1656.0,,22224.0,,22224.0,,23996.0,,23996.0,,3428.0,,966.0,,1110.0,,0.0,,0.0,,0.0,,0.0,,31798.0,,2296.0,,2536.0,,2296.0,,2536.0,
40,656.0,,0,,2640.0,,0,,14152.0,,0,,0,,17760.0,,2536.0,,2,,1672.0,,2496.0,,2640.0,,168.0,,1480.0,,1480.0,,11512.0,,11512.0,,11704.0,,11704.0,,1672.0,,15456.0,,17760.0,,0.0,,0.0,,0.0,,0.0,,36948.0,,2296.0,,2536.0,,2296.0,,2536.0,
41,656.0,,0,,4512.0,,0,,30320.0,,0,,0,,17760.0,,5072.0,,3,,1672.0,,4368.0,,4512.0,,168.0,,2136.0,,824.0,,10856.0,,10856.0,,14952.0,,14952.0,,1672.0,,15456.0,,17760.0,,0.0,,0.0,,0.0,,0.0,,55652.0,,4592.0,,5072.0,,4592.0,,5072.0,
42,656.0,,0,,5760.0,,0,,36160.0,,0,,0,,17760.0,,6340.0,,4,,1672.0,,5616.0,,5760.0,,168.0,,2792.0,,824.0,,10856.0,,10856.0,,19544.0,,19544.0,,1672.0,,15456.0,,17760.0,,0.0,,0.0,,0.0,,0.0,,62760.0,,5740.0,,6340.0,,5740.0,,6340.0,
43,656.0,,0,,1392.0,,0,,12528.0,,0,,0,,17760.0,,1268.0,,1,,1672.0,,1248.0,,1392.0,,168.0,,824.0,,824.0,,10856.0,,10856.0,,11704.0,,11704.0,,1672.0,,15456.0,,17760.0,,0.0,,0.0,,0.0,,0.0,,34056.0,,1148.0,,1268.0,,1148.0,,1268.0,
45,1440.0,,0,,19098.0,,0,,112170.0,,0,,0,,5550.0,,11412.0,,6,,3804.0,,18954.0,,19098.0,,168.0,,8808.0,,4488.0,,31416.0,,31416.0,,61656.0,,61656.0,,3804.0,,4830.0,,5550.0,,0.0,,0.0,,0.0,,0.0,,131632.0,,10332.0,,11412.0,,10332.0,,11412.0,
